Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Le temps des regrets - T,Le temps des regrets - T-90,   89| 1| 000,   91| 1| 000,    2| 0| 000,"Le temps de l'humilité,"
Le temps des regrets - T,Le temps des regrets - T-92,   91| 1| 000,   93| 1| 000,    2| 0| 000,"L'envie d'apprendre du passé,"
Le temps des regrets - T,Le temps des regrets - T-94,   93| 1| 000,   95| 1| 000,    2| 0| 000,Corriger nos destinées
Le temps des regrets - T,Le temps des regrets - T-96,   95| 1| 000,   97| 1| 000,    2| 0| 000,pour que brille notre éternité !
Le temps des regrets - T,Le temps des regrets - T-98,   97| 1| 000,   99| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-100,   99| 1| 000,  101| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-102,  101| 1| 000,  103| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-104,  103| 1| 000,  105| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-106,  105| 1| 000,  107| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-108,  107| 1| 000,  109| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-110,  109| 1| 000,  111| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-111,  111| 1| 000,  115| 1| 000,    4| 0| 000,
